h3,month,n,lat,lon,area,CIS
8960144a2cbffff,2023-11,1,13.071861890286915,77.44099948846512,Rajadhani Layout,1.34
8960144a2dbffff,2023-11,4,13.069720916354912,77.44336836828691,Rajadhani Layout,4.63
8960144a64bffff,2024-02,3,13.064358260541509,77.45349758197017,Makali,6.17
8960144b4dbffff,2023-11,19,13.084573786211385,77.48569027892208,MSPP Layout,14.07
8960144b5a3ffff,2023-11,3,13.06864073307749,77.44875953257177,Alur Village,13.14
8960144b5a3ffff,2023-12,4,13.06864073307749,77.44875953257177,Alur Village,13.14
8960144b5a3ffff,2024-01,7,13.06864073307749,77.44875953257177,Alur Village,13.14
8960144b5afffff,2023-12,2,13.070781839738174,77.44639055381762,Rajadhani Layout,3.51
8960144b5afffff,2024-02,1,13.070781839738174,77.44639055381762,Rajadhani Layout,3.51
8960144b5b3ffff,2024-01,2,13.06649954000792,77.45112854195844,Makali,4.38
8960144b5b3ffff,2024-03,1,13.06649954000792,77.45112854195844,Makali,4.38
89601451097ffff,2024-01,1,12.878297949625285,77.51655247138666,Pavamanapura,1.87
896014511cbffff,2024-04,1,12.88476484667875,77.50103200852485,Vajarahalli Road,1.34
89601451207ffff,2023-11,8,12.910360734992677,77.51467866587252,Subhash Chandrabose Nagar,19.19
89601451207ffff,2024-01,18,12.910360734992677,77.51467866587252,Subhash Chandrabose Nagar,19.19
8960145120fffff,2023-11,1,12.913563998359017,77.51533283412459,Janakshi Layout,2.89
8960145120fffff,2024-02,1,12.913563998359017,77.51533283412459,Janakshi Layout,2.89
89601451233ffff,2024-01,5,12.909302670040107,77.51165548452427,Prakruthi Aroma,7.32
8960145123bffff,2023-11,3,12.912505887439655,77.5123095967593,Janakshi Layout,4.9
89601451257ffff,2023-11,9,12.915680219251499,77.52137968085202,Krishnappa Block,13.69
89601451257ffff,2024-01,3,12.915680219251499,77.52137968085202,Krishnappa Block,13.69
89601451257ffff,2024-02,1,12.915680219251499,77.52137968085202,Krishnappa Block,13.69
89601451263ffff,2024-01,1,12.91891234183084,77.5136178765356,Sai Shakthi Enclave,6.02
89601451263ffff,2024-03,3,12.91891234183084,77.5136178765356,Sai Shakthi Enclave,6.02
89601451263ffff,2024-04,1,12.91891234183084,77.5136178765356,Sai Shakthi Enclave,6.02
8960145126bffff,2024-03,3,12.922115578779955,77.51427204407814,Halagevaderahalli,3.18
89601451287ffff,2023-11,1,12.902866837437374,77.51876267032858,Channasandra,1.87
896014512a3ffff,2023-11,2,12.903954227927082,77.5133703846751,Srinivasapura Cross,3.2
896014512a3ffff,2024-03,1,12.903954227927082,77.5133703846751,Srinivasapura Cross,3.2
896014512a7ffff,2023-12,1,12.90289625493937,77.5103473153575,Kanakadas Circle,1.87
8960145140bffff,2023-12,2,12.877178639836071,77.53036024498759,Prasad Layout,3.05
8960145141bffff,2023-12,1,12.875032520204236,77.53272939962514,Sobha Forest View,1.87
89601451483ffff,2023-11,4,12.866479088320258,77.5337897363267,Thalaghattapura,18.83
89601451483ffff,2023-12,2,12.866479088320258,77.5337897363267,Thalaghattapura,18.83
89601451483ffff,2024-01,9,12.866479088320258,77.5337897363267,Thalaghattapura,18.83
89601451483ffff,2024-02,1,12.866479088320258,77.5337897363267,Thalaghattapura,18.83
89601451483ffff,2024-03,2,12.866479088320258,77.5337897363267,Thalaghattapura,18.83
89601451483ffff,2024-04,4,12.866479088320258,77.5337897363267,Thalaghattapura,18.83
89601451497ffff,2023-11,1,12.863275485150659,77.53313533984318,Spring Woods Apartment,1.16
8960145149bffff,2023-11,4,12.867536368405512,77.53681332899949,Thalaghattapura,18.98
8960145149bffff,2023-12,5,12.867536368405512,77.53681332899949,Thalaghattapura,18.98
8960145149bffff,2024-01,3,12.867536368405512,77.53681332899949,Thalaghattapura,18.98
8960145149bffff,2024-02,2,12.867536368405512,77.53681332899949,Thalaghattapura,18.98
8960145149bffff,2024-03,1,12.867536368405512,77.53681332899949,Thalaghattapura,18.98
8960145149bffff,2024-04,7,12.867536368405512,77.53681332899949,Thalaghattapura,18.98
896014514c3ffff,2023-11,2,12.87394368717276,77.53812228928288,Rainbow Kishore Glendale,5.41
896014514c3ffff,2024-03,1,12.87394368717276,77.53812228928288,Rainbow Kishore Glendale,5.41
896014514d3ffff,2023-11,14,12.87179735026293,77.54049157248997,Paramount Gardens,21.84
896014514d3ffff,2023-12,4,12.87179735026293,77.54049157248997,Paramount Gardens,21.84
896014514d3ffff,2024-01,8,12.87179735026293,77.54049157248997,Paramount Gardens,21.84
896014514d3ffff,2024-02,3,12.87179735026293,77.54049157248997,Paramount Gardens,21.84
896014514d7ffff,2023-11,10,12.870740024402117,77.53746779992174,Paramount Gardens,24.71
896014514d7ffff,2023-12,12,12.870740024402117,77.53746779992174,Paramount Gardens,24.71
896014514d7ffff,2024-01,8,12.870740024402117,77.53746779992174,Paramount Gardens,24.71
896014514d7ffff,2024-02,1,12.870740024402117,77.53746779992174,Paramount Gardens,24.71
896014514d7ffff,2024-03,2,12.870740024402117,77.53746779992174,Paramount Gardens,24.71
896014514d7ffff,2024-04,2,12.870740024402117,77.53746779992174,Paramount Gardens,24.71
896014514dbffff,2023-11,7,12.875001059033211,77.5411461178543,Hosahalli South Taluka,24.8
896014514dbffff,2023-12,8,12.875001059033211,77.5411461178543,Hosahalli South Taluka,24.8
896014514dbffff,2024-01,8,12.875001059033211,77.5411461178543,Hosahalli South Taluka,24.8
896014514dbffff,2024-02,2,12.875001059033211,77.5411461178543,Hosahalli South Taluka,24.8
896014514dbffff,2024-03,17,12.875001059033211,77.5411461178543,Hosahalli South Taluka,24.8
89601451613ffff,2023-12,1,12.894254126329491,77.53665616159874,Pride Spring Field Apartment,1.34
8960145164bffff,2023-12,2,12.907068663192508,77.53927437173499,DS Max Savera,8.89
8960145164bffff,2024-02,3,12.907068663192508,77.53927437173499,DS Max Savera,8.89
8960145164bffff,2024-03,1,12.907068663192508,77.53927437173499,DS Max Savera,8.89
8960145164fffff,2023-11,2,12.906010784919303,77.53625029877506,Subramanyapura,4.45
8960145165bffff,2023-11,14,12.904922851122747,77.54164393239839,Uttarahalli Circle,29.1
8960145165bffff,2023-12,20,12.904922851122747,77.54164393239839,Uttarahalli Circle,29.1
8960145165bffff,2024-01,10,12.904922851122747,77.54164393239839,Uttarahalli Circle,29.1
8960145165bffff,2024-02,8,12.904922851122747,77.54164393239839,Uttarahalli Circle,29.1
8960145165bffff,2024-03,13,12.904922851122747,77.54164393239839,Uttarahalli Circle,29.1
8960145165bffff,2024-04,2,12.904922851122747,77.54164393239839,Uttarahalli Circle,29.1
89601451663ffff,2024-02,1,12.903895027346303,77.53020252464326,Bengaluru,1.34
8960145166bffff,2024-01,1,12.907098540207176,77.53085695523868,Bengaluru South City Corporation,1.87
8960145167bffff,2023-11,4,12.904952906300142,77.53322634974143,Kodipur,7.14
8960145167bffff,2023-12,1,12.904952906300142,77.53322634974143,Kodipur,7.14
89601451697ffff,2023-11,1,12.88570084951456,77.53771650242864,Sahara Layout,1.16
896014516cbffff,2024-03,1,12.89957323065232,77.54335886804535,Muniswamy Naidu Layout,1.16
89601451847ffff,2023-11,1,12.895604084385631,77.45554472582181,Chalaghatta,2.15
8960145187bffff,2024-04,3,12.89774823261037,77.45317694321866,Chalaghatta,5.03
89601451aa7ffff,2024-04,1,12.903094571520901,77.45146220081823,Sector N,2.15
89601451d6bffff,2024-01,2,12.877476548765266,77.44623863939456,Serenade Layout,6.69
89601451d6bffff,2024-03,1,12.877476548765266,77.44623863939456,Serenade Layout,6.69
89601451d6bffff,2024-04,1,12.877476548765266,77.44623863939456,Serenade Layout,6.69
89601451e2bffff,2024-02,1,12.899836727163935,77.46762921321648,Vaishnavi Layout,3.05
89601451e2bffff,2024-03,1,12.899836727163935,77.46762921321648,Vaishnavi Layout,3.05
89601451e2fffff,2023-11,1,12.898778566655169,77.46460790512103,Eternity Aspire,2.15
89601451e7bffff,2024-03,3,12.905155679883205,77.4743256227368,Suvrith Sadan,4.9
89601453343ffff,2023-12,1,12.859014700595626,77.52945760502502,SV Luxuria,2.23
89601453343ffff,2024-03,1,12.859014700595626,77.52945760502502,SV Luxuria,2.23
8960145334bffff,2023-11,48,12.862218250884975,77.53011192707314,SS Vrudhi,30.96
8960145334bffff,2023-12,9,12.862218250884975,77.53011192707314,SS Vrudhi,30.96
8960145334bffff,2024-01,9,12.862218250884975,77.53011192707314,SS Vrudhi,30.96
8960145334bffff,2024-02,5,12.862218250884975,77.53011192707314,SS Vrudhi,30.96
8960145334bffff,2024-03,1,12.862218250884975,77.53011192707314,SS Vrudhi,30.96
89601453357ffff,2023-12,1,12.855811157164966,77.52880330141164,,2.15
8960145364bffff,2023-12,1,12.854590290797047,77.56786562257395,Eden Blossoms Apartments,2.15
89601458033ffff,2023-12,1,12.991579706105059,77.50880781887321,Mukthrayaswamy Layout,4.28
89601458033ffff,2024-02,3,12.991579706105059,77.50880781887321,Mukthrayaswamy Layout,4.28
89601458037ffff,2023-11,3,12.990520353527836,77.50578406103945,Sunkadakatte,29.69
89601458037ffff,2023-12,16,12.990520353527836,77.50578406103945,Sunkadakatte,29.69
89601458037ffff,2024-01,6,12.990520353527836,77.50578406103945,Sunkadakatte,29.69
89601458037ffff,2024-02,11,12.990520353527836,77.50578406103945,Sunkadakatte,29.69
89601458037ffff,2024-03,10,12.990520353527836,77.50578406103945,Sunkadakatte,29.69
89601458037ffff,2024-04,15,12.990520353527836,77.50578406103945,Sunkadakatte,29.69
89601458053ffff,2024-04,2,12.999020366399819,77.52155855148634,Kempegowda Layout,3.48
89601458083ffff,2023-11,29,12.986207381130725,77.51894082015416,Sumnahalli Junction,41.31
89601458083ffff,2023-12,25,12.986207381130725,77.51894082015416,Sumnahalli Junction,41.31
89601458083ffff,2024-01,54,12.986207381130725,77.51894082015416,Sumnahalli Junction,41.31
89601458083ffff,2024-02,46,12.986207381130725,77.51894082015416,Sumnahalli Junction,41.31
89601458083ffff,2024-03,32,12.986207381130725,77.51894082015416,Sumnahalli Junction,41.31
89601458083ffff,2024-04,3,12.986207381130725,77.51894082015416,Sumnahalli Junction,41.31
8960145808bffff,2023-11,20,12.989410618412814,77.51959522531617,Kamakshipalya,18.18
8960145808bffff,2024-01,4,12.989410618412814,77.51959522531617,Kamakshipalya,18.18
8960145808fffff,2024-01,1,12.988351359465705,77.51657108328436,Doddaiah Garden,1.34
89601458093ffff,2024-03,4,12.984063316819753,77.52131058743015,Sattva Anugraha,6.17
8960145809bffff,2023-11,5,12.987266593792592,77.52196503018976,Sumnahalli Junction,16.94
8960145809bffff,2024-01,22,12.987266593792592,77.52196503018976,Sumnahalli Junction,16.94
8960145809bffff,2024-04,1,12.987266593792592,77.52196503018976,Sumnahalli Junction,16.94
896014580afffff,2023-11,15,12.98837663975394,77.5081536010024,BM Shankarappa Industrial Estate,35.07
896014580afffff,2023-12,19,12.98837663975394,77.5081536010024,BM Shankarappa Industrial Estate,35.07
896014580afffff,2024-01,26,12.98837663975394,77.5081536010024,BM Shankarappa Industrial Estate,35.07
896014580afffff,2024-02,26,12.98837663975394,77.5081536010024,BM Shankarappa Industrial Estate,35.07
896014580afffff,2024-03,5,12.98837663975394,77.5081536010024,BM Shankarappa Industrial Estate,35.07
896014580afffff,2024-04,7,12.98837663975394,77.5081536010024,BM Shankarappa Industrial Estate,35.07
896014580b7ffff,2024-01,1,12.98302973998107,77.50986893437518,BDA Layout,1.34
896014580c7ffff,2024-01,2,12.99261386173254,77.52024964892513,Sannaki Bayalu,14.02
896014580c7ffff,2024-02,9,12.99261386173254,77.52024964892513,Sannaki Bayalu,14.02
896014580cbffff,2023-11,2,12.996876460916635,77.52392846915603,Kempegowda Layout,10.12
896014580cbffff,2024-01,3,12.996876460916635,77.52392846915603,Kempegowda Layout,10.12
896014580cbffff,2024-02,2,12.996876460916635,77.52392846915603,Kempegowda Layout,10.12
896014580cfffff,2023-12,1,12.99581711106862,77.52090409098165,Prem Nagar,2.15
89601458103ffff,2023-11,1,12.986282938212787,77.49369027075385,Herohalli Cross,7.65
89601458103ffff,2023-12,1,12.986282938212787,77.49369027075385,Herohalli Cross,7.65
89601458103ffff,2024-02,3,12.986282938212787,77.49369027075385,Herohalli Cross,7.65
8960145810bffff,2023-12,1,12.989485781670203,77.49434422683927,Ramaiah Industrial Estate,4.89
8960145810bffff,2024-02,2,12.989485781670203,77.49434422683927,Ramaiah Industrial Estate,4.89
8960145810fffff,2023-12,1,12.98842638082673,77.49132103353168,Herohalli Cross,1.34
89601458123ffff,2023-11,1,12.986307577751314,77.48527501935207,Apanapa Layout,9.16
89601458123ffff,2023-12,3,12.986307577751314,77.48527501935207,Apanapa Layout,9.16
89601458123ffff,2024-02,3,12.986307577751314,77.48527501935207,Apanapa Layout,9.16
89601458123ffff,2024-03,1,12.986307577751314,77.48527501935207,Apanapa Layout,9.16
89601458127ffff,2023-12,1,12.985248175541964,77.4822521984984,Byadrahalli,10.85
89601458127ffff,2024-03,6,12.985248175541964,77.4822521984984,Byadrahalli,10.85
89601458133ffff,2023-11,1,12.984164227709798,77.4876441203695,Gaddekhani,1.87
8960145813bffff,2023-11,15,12.987366979516663,77.48829796436621,Gaddekhani,16.27
8960145813bffff,2023-12,4,12.987366979516663,77.48829796436621,Gaddekhani,16.27
8960145813bffff,2024-03,3,12.987366979516663,77.48829796436621,Gaddekhani,16.27
89601458153ffff,2023-12,1,12.99160458191216,77.5003909858441,Hoysala Nagar,1.87
8960145816bffff,2023-11,5,12.996975271385448,77.4902596069743,Sri Akadantha Nagar,8.48
8960145816bffff,2024-03,1,12.996975271385448,77.4902596069743,Sri Akadantha Nagar,8.48
89601458177ffff,2023-12,1,12.990569737412397,77.48895182679887,Herohalli North,1.34
896014581a7ffff,2023-11,1,12.977758742447635,77.4863364876813,Kuvempu Layout,2.15
896014581b7ffff,2024-01,1,12.975615226958771,77.48870554398455,Sir M Vishweshwaraiah Nagar,4.34
896014581b7ffff,2024-02,2,12.975615226958771,77.48870554398455,Sir M Vishweshwaraiah Nagar,4.34
896014581cbffff,2023-11,13,12.989461000438705,77.50276042730142,Pattanagere Nagar,39.74
896014581cbffff,2023-12,33,12.989461000438705,77.50276042730142,Pattanagere Nagar,39.74
896014581cbffff,2024-01,13,12.989461000438705,77.50276042730142,Pattanagere Nagar,39.74
896014581cbffff,2024-02,17,12.989461000438705,77.50276042730142,Pattanagere Nagar,39.74
896014581cbffff,2024-03,33,12.989461000438705,77.50276042730142,Pattanagere Nagar,39.74
896014581cbffff,2024-04,5,12.989461000438705,77.50276042730142,Pattanagere Nagar,39.74
896014581cfffff,2023-11,15,12.988401646848951,77.49973691766836,Hanumantharayan Palya,43.98
896014581cfffff,2023-12,17,12.988401646848951,77.49973691766836,Hanumantharayan Palya,43.98
896014581cfffff,2024-01,71,12.988401646848951,77.49973691766836,Hanumantharayan Palya,43.98
896014581cfffff,2024-02,27,12.988401646848951,77.49973691766836,Hanumantharayan Palya,43.98
896014581cfffff,2024-03,58,12.988401646848951,77.49973691766836,Hanumantharayan Palya,43.98
896014581cfffff,2024-04,21,12.988401646848951,77.49973691766836,Hanumantharayan Palya,43.98
8960145820bffff,2023-12,1,13.019323887397332,77.52009101059515,Dr Vishnuvardhan Circle,1.34
89601458243ffff,2023-11,1,13.023586860810726,77.5237701411305,Kempamma Badavane,2.15
8960145824fffff,2024-01,3,13.025730315711574,77.52140002104102,SBM Circle,17.07
8960145824fffff,2024-02,9,13.025730315711574,77.52140002104102,SBM Circle,17.07
8960145824fffff,2024-03,4,13.025730315711574,77.52140002104102,SBM Circle,17.07
8960145824fffff,2024-04,5,13.025730315711574,77.52140002104102,SBM Circle,17.07
89601458267ffff,2024-02,1,13.022550888396195,77.51232669372158,Chakkasandra,1.34
8960145826bffff,2024-01,3,13.026813829728463,77.51600543285662,Peenya,6.33
8960145826bffff,2024-02,1,13.026813829728463,77.51600543285662,Peenya,6.33
8960145827bffff,2024-02,5,13.024670507249168,77.51837545451677,SBM Circle,6.46
8960145827bffff,2024-04,1,13.024670507249168,77.51837545451677,SBM Circle,6.46
89601458293ffff,2023-11,28,13.006486381902432,77.52589207416636,Freedom Fighters Colony,50.77
89601458293ffff,2023-12,73,13.006486381902432,77.52589207416636,Freedom Fighters Colony,50.77
89601458293ffff,2024-01,32,13.006486381902432,77.52589207416636,Freedom Fighters Colony,50.77
89601458293ffff,2024-02,54,13.006486381902432,77.52589207416636,Freedom Fighters Colony,50.77
89601458293ffff,2024-03,24,13.006486381902432,77.52589207416636,Freedom Fighters Colony,50.77
89601458293ffff,2024-04,16,13.006486381902432,77.52589207416636,Freedom Fighters Colony,50.77
8960145829bffff,2023-11,25,13.009689700767762,77.52654664607132,Malleshwar Layout,46.55
8960145829bffff,2023-12,32,13.009689700767762,77.52654664607132,Malleshwar Layout,46.55
8960145829bffff,2024-01,28,13.009689700767762,77.52654664607132,Malleshwar Layout,46.55
8960145829bffff,2024-02,78,13.009689700767762,77.52654664607132,Malleshwar Layout,46.55
8960145829bffff,2024-03,6,13.009689700767762,77.52654664607132,Malleshwar Layout,46.55
8960145829bffff,2024-04,13,13.009689700767762,77.52654664607132,Malleshwar Layout,46.55
896014582c3ffff,2024-03,2,13.016096356175884,77.52785584523718,Karnataka Slum Development Board Bangalore,3.48
896014582c7ffff,2024-02,1,13.015036732238052,77.52483113075365,Vidhana Soudha Layout Circle,1.87
896014582cbffff,2023-11,1,13.019299692676148,77.52851047249929,Kanteerava Studio Circle,6.33
896014582cbffff,2023-12,2,13.019299692676148,77.52851047249929,Kanteerava Studio Circle,6.33
896014582cbffff,2024-01,1,13.019299692676148,77.52851047249929,Kanteerava Studio Circle,6.33
896014582d3ffff,2023-11,7,13.013952603179225,77.53022601889961,Nandini Layout,29.48
896014582d3ffff,2023-12,10,13.013952603179225,77.53022601889961,Nandini Layout,29.48
896014582d3ffff,2024-02,6,13.013952603179225,77.53022601889961,Nandini Layout,29.48
896014582d3ffff,2024-03,29,13.013952603179225,77.53022601889961,Nandini Layout,29.48
896014582d3ffff,2024-04,7,13.013952603179225,77.53022601889961,Nandini Layout,29.48
896014582dbffff,2023-11,33,13.017155979466725,77.53088068376357,Nandini Layout,57.02
896014582dbffff,2023-12,109,13.017155979466725,77.53088068376357,Nandini Layout,57.02
896014582dbffff,2024-01,148,13.017155979466725,77.53088068376357,Nandini Layout,57.02
896014582dbffff,2024-02,69,13.017155979466725,77.53088068376357,Nandini Layout,57.02
896014582dbffff,2024-03,39,13.017155979466725,77.53088068376357,Nandini Layout,57.02
896014582dbffff,2024-04,49,13.017155979466725,77.53088068376357,Nandini Layout,57.02
89601458353ffff,2024-03,1,13.014025295481874,77.50496997944504,Peenya,1.34
89601458367ffff,2023-11,8,13.015132203353813,77.49115994056531,Peenya,23.95
89601458367ffff,2023-12,32,13.015132203353813,77.49115994056531,Peenya,23.95
89601458377ffff,2023-11,15,13.012989211385557,77.4935293800839,Ramegowda Layout,16.05
89601458377ffff,2023-12,6,13.012989211385557,77.4935293800839,Ramegowda Layout,16.05
8960145838bffff,2023-12,2,13.004416382423033,77.50300744295912,Muneshwara Layout,2.54
896014583c3ffff,2023-11,2,13.008678975658661,77.5066854492692,M Ramaiah Layout,20.26
896014583c3ffff,2023-12,3,13.008678975658661,77.5066854492692,M Ramaiah Layout,20.26
896014583c3ffff,2024-01,4,13.008678975658661,77.5066854492692,M Ramaiah Layout,20.26
896014583c3ffff,2024-02,6,13.008678975658661,77.5066854492692,M Ramaiah Layout,20.26
896014583c3ffff,2024-03,6,13.008678975658661,77.5066854492692,M Ramaiah Layout,20.26
896014583c3ffff,2024-04,5,13.008678975658661,77.5066854492692,M Ramaiah Layout,20.26
896014583cbffff,2023-11,3,13.01188199240873,77.50733968415042,M Ramaiah Layout,23.93
896014583cbffff,2023-12,7,13.01188199240873,77.50733968415042,M Ramaiah Layout,23.93
896014583cbffff,2024-01,6,13.01188199240873,77.50733968415042,M Ramaiah Layout,23.93
896014583cbffff,2024-02,7,13.01188199240873,77.50733968415042,M Ramaiah Layout,23.93
896014583cbffff,2024-03,6,13.01188199240873,77.50733968415042,M Ramaiah Layout,23.93
896014583cbffff,2024-04,8,13.01188199240873,77.50733968415042,M Ramaiah Layout,23.93
896014583cfffff,2023-12,1,13.010822318535666,77.50431578217236,Peenya,9.3
896014583cfffff,2024-03,8,13.010822318535666,77.50431578217236,Peenya,9.3
89601458407ffff,2024-03,1,12.977630608152463,77.52842007162023,Sapthagiri,1.87
8960145840bffff,2023-11,2,12.981893077391634,77.53209916516887,Asthagrama New Extension,19.27
8960145840bffff,2023-12,3,12.981893077391634,77.53209916516887,Asthagrama New Extension,19.27
8960145840bffff,2024-01,15,12.981893077391634,77.53209916516887,Asthagrama New Extension,19.27
8960145840bffff,2024-02,2,12.981893077391634,77.53209916516887,Asthagrama New Extension,19.27
8960145840bffff,2024-03,5,12.981893077391634,77.53209916516887,Asthagrama New Extension,19.27
89601458413ffff,2023-11,2,12.97654518130412,77.53381451036765,Gangadhara Layout,15.54
89601458413ffff,2023-12,3,12.97654518130412,77.53381451036765,Gangadhara Layout,15.54
89601458413ffff,2024-01,4,12.97654518130412,77.53381451036765,Gangadhara Layout,15.54
89601458413ffff,2024-03,9,12.97654518130412,77.53381451036765,Gangadhara Layout,15.54
89601458417ffff,2023-11,13,12.97548620005914,77.53078996044586,Prasanthnagar Circle,32.86
89601458417ffff,2023-12,12,12.97548620005914,77.53078996044586,Prasanthnagar Circle,32.86
89601458417ffff,2024-01,24,12.97548620005914,77.53078996044586,Prasanthnagar Circle,32.86
89601458417ffff,2024-02,9,12.97548620005914,77.53078996044586,Prasanthnagar Circle,32.86
89601458417ffff,2024-03,26,12.97548620005914,77.53078996044586,Prasanthnagar Circle,32.86
8960145841bffff,2023-12,6,12.979748662660024,77.53446915954552,Selvam Industrial Estate,8.9
8960145841bffff,2024-01,1,12.979748662660024,77.53446915954552,Selvam Industrial Estate,8.9
8960145841bffff,2024-03,1,12.979748662660024,77.53446915954552,Selvam Industrial Estate,8.9
8960145842fffff,2024-03,1,12.980860045916591,77.52065616311747,Sattva Anugraha,1.34
89601458433ffff,2024-01,1,12.976571580090033,77.52539571366798,Shrishylanagar,12.63
89601458433ffff,2024-02,11,12.976571580090033,77.52539571366798,Shrishylanagar,12.63
89601458433ffff,2024-03,3,12.976571580090033,77.52539571366798,Shrishylanagar,12.63
89601458443ffff,2023-11,11,12.98615564359418,77.53577851325464,Papajan Garden,35.92
89601458443ffff,2023-12,19,12.98615564359418,77.53577851325464,Papajan Garden,35.92
89601458443ffff,2024-01,10,12.98615564359418,77.53577851325464,Papajan Garden,35.92
89601458443ffff,2024-02,34,12.98615564359418,77.53577851325464,Papajan Garden,35.92
89601458443ffff,2024-03,9,12.98615564359418,77.53577851325464,Papajan Garden,35.92
89601458443ffff,2024-04,8,12.98615564359418,77.53577851325464,Papajan Garden,35.92
8960145844bffff,2023-11,52,12.98935914312988,77.53643321778709,Havanur Circle,54.01
8960145844bffff,2023-12,25,12.98935914312988,77.53643321778709,Havanur Circle,54.01
8960145844bffff,2024-01,69,12.98935914312988,77.53643321778709,Havanur Circle,54.01
8960145844bffff,2024-02,78,12.98935914312988,77.53643321778709,Havanur Circle,54.01
8960145844bffff,2024-03,112,12.98935914312988,77.53643321778709,Havanur Circle,54.01
8960145844bffff,2024-04,22,12.98935914312988,77.53643321778709,Havanur Circle,54.01
89601458453ffff,2023-11,6,12.984011222233521,77.53814861317171,Meenakshi Layout,17.24
89601458453ffff,2023-12,4,12.984011222233521,77.53814861317171,Meenakshi Layout,17.24
89601458453ffff,2024-01,3,12.984011222233521,77.53814861317171,Meenakshi Layout,17.24
89601458453ffff,2024-03,2,12.984011222233521,77.53814861317171,Meenakshi Layout,17.24
89601458453ffff,2024-04,4,12.984011222233521,77.53814861317171,Meenakshi Layout,17.24
89601458457ffff,2023-12,1,12.982952150097145,77.53512382717433,Selvam Industrial Estate,4.25
89601458457ffff,2024-03,3,12.982952150097145,77.53512382717433,Selvam Industrial Estate,4.25
8960145845bffff,2023-11,41,12.987214761433934,77.53880335529601,Havanur Circle,54.33
8960145845bffff,2023-12,49,12.987214761433934,77.53880335529601,Havanur Circle,54.33
8960145845bffff,2024-01,50,12.987214761433934,77.53880335529601,Havanur Circle,54.33
8960145845bffff,2024-02,96,12.987214761433934,77.53880335529601,Havanur Circle,54.33
8960145845bffff,2024-03,93,12.987214761433934,77.53880335529601,Havanur Circle,54.33
8960145845bffff,2024-04,16,12.987214761433934,77.53880335529601,Havanur Circle,54.33
89601458463ffff,2023-11,3,12.986181649027934,77.5273592675209,Kempaiah Estate,22.28
89601458463ffff,2023-12,6,12.986181649027934,77.5273592675209,Kempaiah Estate,22.28
89601458463ffff,2024-01,8,12.986181649027934,77.5273592675209,Kempaiah Estate,22.28
89601458463ffff,2024-02,8,12.986181649027934,77.5273592675209,Kempaiah Estate,22.28
89601458463ffff,2024-03,3,12.986181649027934,77.5273592675209,Kempaiah Estate,22.28
89601458467ffff,2023-11,2,12.985122483196985,77.5243348654607,Vinayaka Nagar,8.43
89601458467ffff,2023-12,1,12.985122483196985,77.5243348654607,Vinayaka Nagar,8.43
89601458467ffff,2024-01,1,12.985122483196985,77.5243348654607,Vinayaka Nagar,8.43
89601458467ffff,2024-02,1,12.985122483196985,77.5243348654607,Vinayaka Nagar,8.43
89601458467ffff,2024-03,1,12.985122483196985,77.5243348654607,Vinayaka Nagar,8.43
89601458473ffff,2023-11,29,12.984037406185003,77.52972920115816,Soundarya Kamakshi,29.88
89601458473ffff,2023-12,8,12.984037406185003,77.52972920115816,Soundarya Kamakshi,29.88
89601458473ffff,2024-01,8,12.984037406185003,77.52972920115816,Soundarya Kamakshi,29.88
89601458473ffff,2024-02,5,12.984037406185003,77.52972920115816,Soundarya Kamakshi,29.88
89601458473ffff,2024-03,8,12.984037406185003,77.52972920115816,Soundarya Kamakshi,29.88
89601458473ffff,2024-04,5,12.984037406185003,77.52972920115816,Soundarya Kamakshi,29.88
89601458477ffff,2023-12,1,12.982978286638184,77.52670473112148,Industrial Estate,2.56
89601458477ffff,2024-01,1,12.982978286638184,77.52670473112148,Industrial Estate,2.56
89601458483ffff,2023-11,11,12.97119712613916,77.53552982919537,Police Quarters,36.83
89601458483ffff,2023-12,78,12.97119712613916,77.53552982919537,Police Quarters,36.83
89601458483ffff,2024-02,15,12.97119712613916,77.53552982919537,Police Quarters,36.83
89601458483ffff,2024-03,21,12.97119712613916,77.53552982919537,Police Quarters,36.83
8960145848bffff,2023-12,1,12.974400641014112,77.53618449751255,Gangadhara Layout,3.54
8960145848bffff,2024-02,1,12.974400641014112,77.53618449751255,Gangadhara Layout,3.54
8960145848bffff,2024-03,1,12.974400641014112,77.53618449751255,Gangadhara Layout,3.54
89601458493ffff,2023-11,181,12.96905246033686,77.5378998091042,Police Quarters,64.25
89601458493ffff,2023-12,154,12.96905246033686,77.5378998091042,Police Quarters,64.25
89601458493ffff,2024-01,106,12.96905246033686,77.5378998091042,Police Quarters,64.25
89601458493ffff,2024-02,159,12.96905246033686,77.5378998091042,Police Quarters,64.25
89601458493ffff,2024-03,101,12.96905246033686,77.5378998091042,Police Quarters,64.25
89601458493ffff,2024-04,33,12.96905246033686,77.5378998091042,Police Quarters,64.25
89601458497ffff,2023-11,52,12.96799361739875,77.53487517932844,Ganga Government Quarters,57.16
89601458497ffff,2023-12,144,12.96799361739875,77.53487517932844,Ganga Government Quarters,57.16
89601458497ffff,2024-01,104,12.96799361739875,77.53487517932844,Ganga Government Quarters,57.16
89601458497ffff,2024-02,83,12.96799361739875,77.53487517932844,Ganga Government Quarters,57.16
89601458497ffff,2024-03,51,12.96799361739875,77.53487517932844,Ganga Government Quarters,57.16
